trend_id,trend_keyword,platform_source,search_volume_score,trend_category
T000144,top rated camping gear guide,Pinterest,27545,Travel
T000145,minimalist desk setup hacks,TikTok,265812,Fashion
T000146,must-have office essentials finds,Pinterest,136436,Kitchen
T000147,sustainable gaming setup finds,TikTok,289914,Beauty
T000148,minimalist gift ideas check,Pinterest,97751,Electronics
T000149,sustainable kitchen hacks hacks,TikTok,302360,Fashion
T000150,cozy streetwear check,TikTok,291070,Beauty
T000151,sustainable camping gear check,TikTok,118814,Office Supplies
T000152,sustainable streetwear finds,Instagram,33654,Electronics
T000153,aesthetic gift ideas finds,Instagram,127473,Kitchen
T000154,luxury gym gear check,Instagram,485535,Travel
T000155,trending office essentials hacks,TikTok,313435,Sports & Outdoors
T000156,retro gift ideas finds,TikTok,162127,Beauty
T000157,viral travel hacks unboxing,TikTok,56480,Fashion
T000158,smart gift ideas review,YouTube,467477,Travel
T000159,luxury travel hacks check,YouTube,470920,Sports & Outdoors
T000160,trending tech gadgets finds,Pinterest,419359,Kitchen
T000161,smart office essentials check,TikTok,494164,Beauty
T000162,goth travel hacks essentials,Instagram,220409,Sports & Outdoors
T000163,goth gift ideas hacks,Instagram,356907,Home Decor
T000164,sustainable office essentials hacks,Instagram,163106,Home Decor
T000165,cozy gym gear hacks,Instagram,18539,Kitchen
T000166,budget room decor unboxing,TikTok,160886,Fashion
T000167,minimalist desk setup review,Instagram,176774,Beauty
T000168,trending skincare routine check,TikTok,472809,Kitchen
T000169,sustainable skincare routine essentials,TikTok,60083,Electronics
T000170,minimalist desk setup check,TikTok,229925,Sports & Outdoors
T000171,budget desk setup guide,Instagram,298120,Travel
T000172,must-have streetwear check,Instagram,235925,Electronics
T000173,trending kitchen hacks tour,TikTok,82147,Fashion
T000174,must-have gaming setup finds,Instagram,485785,Kitchen
T000175,cozy skincare routine guide,TikTok,429481,Sports & Outdoors
T000176,budget gift ideas guide,Pinterest,229326,Office Supplies
T000177,minimalist camping gear unboxing,TikTok,473384,Beauty
T000178,Y2K travel hacks guide,TikTok,261860,Beauty
T000179,luxury skincare routine hacks,TikTok,333627,Office Supplies
T000180,cozy travel hacks tour,TikTok,59359,Electronics
T000181,viral camping gear tour,TikTok,1535,Electronics
T000182,smart gaming setup guide,YouTube,76917,Office Supplies
T000183,minimalist kitchen hacks unboxing,TikTok,496152,Fashion
T000184,top rated gaming setup review,TikTok,311884,Office Supplies
T000185,budget gaming setup check,TikTok,11152,Fashion
T000186,smart kitchen hacks finds,TikTok,229508,Office Supplies
T000187,viral tech gadgets unboxing,TikTok,319612,Sports & Outdoors
T000188,smart gaming setup essentials,TikTok,323335,Home Decor
T000189,luxury camping gear review,Instagram,238754,Beauty
T000190,minimalist camping gear tour,Instagram,160359,Sports & Outdoors
T000191,top rated desk setup review,TikTok,384540,Office Supplies
T000192,Y2K camping gear tour,Pinterest,306125,Home Decor
T000193,sustainable skincare routine review,Pinterest,320991,Office Supplies
T000194,aesthetic streetwear guide,TikTok,3646,Beauty
T000195,smart kitchen hacks essentials,Instagram,329412,Electronics
T000196,retro gift ideas check,YouTube,48309,Sports & Outdoors
T000197,minimalist gym gear finds,TikTok,257574,Fashion
T000198,viral gift ideas check,Instagram,151214,Fashion
T000199,goth camping gear review,YouTube,130686,Sports & Outdoors
T000200,Y2K travel hacks guide,TikTok,473144,Beauty
T000201,top rated camping gear unboxing,YouTube,45964,Travel
T000202,retro camping gear check,Instagram,20844,Electronics
T000203,cozy room decor review,YouTube,44049,Sports & Outdoors
T000204,smart skincare routine essentials,TikTok,462036,Home Decor
T000205,luxury skincare routine finds,Instagram,249019,Kitchen
T000206,sustainable tech gadgets unboxing,TikTok,134831,Electronics
T000207,minimalist room decor tour,TikTok,409059,Fashion
T000208,must-have gaming setup finds,Instagram,321087,Travel
T000209,cozy gift ideas review,TikTok,125312,Electronics
T000210,aesthetic kitchen hacks check,Instagram,338197,Beauty
T000211,top rated desk setup tour,TikTok,125698,Beauty
T000212,aesthetic gaming setup tour,TikTok,304199,Travel
T000213,sustainable room decor tour,TikTok,227950,Electronics
T000214,aesthetic tech gadgets finds,Instagram,382883,Travel
T000215,budget camping gear guide,Instagram,113651,Fashion
T000216,luxury tech gadgets check,TikTok,269911,Kitchen
T000217,top rated streetwear unboxing,Instagram,401518,Travel
T000218,top rated gaming setup check,TikTok,244052,Kitchen
T000219,goth desk setup tour,TikTok,152980,Electronics
T000220,smart gift ideas essentials,YouTube,82799,Fashion
T000221,Y2K room decor check,Instagram,470123,Sports & Outdoors
T000222,luxury gaming setup guide,TikTok,414083,Beauty
T000223,budget tech gadgets check,TikTok,330773,Electronics
T000224,smart skincare routine essentials,TikTok,26276,Office Supplies
T000225,cozy room decor finds,Instagram,137047,Electronics
T000226,budget office essentials unboxing,TikTok,482999,Fashion
T000227,minimalist streetwear tour,YouTube,341519,Home Decor
T000228,budget camping gear tour,Instagram,70409,Fashion
T000229,aesthetic travel hacks unboxing,YouTube,175451,Home Decor
T000230,Y2K streetwear check,TikTok,65794,Electronics
T000231,retro camping gear essentials,YouTube,420737,Beauty
T000232,viral tech gadgets review,Pinterest,263122,Sports & Outdoors
T000233,luxury travel hacks essentials,Instagram,402802,Travel
T000234,trending office essentials check,TikTok,286184,Beauty
T000235,top rated tech gadgets check,Instagram,291964,Travel
T000236,must-have skincare routine unboxing,Instagram,238343,Beauty
T000237,luxury gift ideas check,TikTok,376498,Kitchen
T000238,trending tech gadgets unboxing,Instagram,416958,Sports & Outdoors
T000239,budget gym gear tour,TikTok,35371,Electronics
T000240,aesthetic travel hacks essentials,TikTok,389737,Fashion
T000241,minimalist streetwear unboxing,TikTok,217403,Beauty
T000242,trending tech gadgets unboxing,TikTok,357315,Fashion
T000243,goth gym gear essentials,YouTube,301853,Beauty
T000244,must-have streetwear tour,YouTube,393072,Kitchen
T000245,smart office essentials hacks,TikTok,275922,Office Supplies
T000246,budget travel hacks review,Instagram,45681,Electronics
T000247,Y2K gaming setup finds,TikTok,470064,Fashion
T000248,budget room decor guide,TikTok,16362,Office Supplies
T000249,aesthetic streetwear tour,Instagram,428806,Travel
T000250,viral gift ideas check,TikTok,193610,Travel
T000251,cozy office essentials tour,Instagram,172395,Travel
T000252,Y2K gift ideas unboxing,TikTok,333422,Sports & Outdoors
T000253,budget travel hacks check,YouTube,99063,Electronics
T000254,top rated desk setup essentials,Pinterest,106487,Sports & Outdoors
T000255,Y2K office essentials check,Pinterest,380227,Office Supplies
T000256,smart skincare routine hacks,Instagram,192078,Beauty
T000257,trending gift ideas tour,Instagram,68953,Office Supplies
T000258,aesthetic skincare routine hacks,Instagram,496884,Beauty
T000259,trending tech gadgets review,TikTok,190163,Sports & Outdoors
T000260,sustainable gaming setup review,Instagram,122532,Beauty
T000261,aesthetic camping gear tour,Pinterest,236219,Beauty
T000262,viral office essentials tour,Instagram,197268,Travel
T000263,cozy room decor finds,TikTok,483499,Sports & Outdoors
T000264,luxury skincare routine check,YouTube,259711,Fashion
T000265,budget gift ideas review,Pinterest,13511,Travel
T000266,budget desk setup guide,TikTok,102461,Fashion
T000267,retro streetwear hacks,TikTok,383651,Travel
T000268,retro gaming setup essentials,TikTok,434789,Electronics
T000269,budget streetwear guide,TikTok,176083,Sports & Outdoors
T000270,must-have travel hacks hacks,Instagram,402083,Electronics
T000271,trending camping gear essentials,TikTok,227564,Home Decor
T000272,minimalist office essentials check,TikTok,80480,Beauty
T000273,smart gift ideas hacks,TikTok,459593,Kitchen
T000274,retro office essentials guide,Instagram,340815,Sports & Outdoors
T000275,sustainable gaming setup hacks,Instagram,389255,Home Decor
T000276,retro skincare routine unboxing,TikTok,82656,Sports & Outdoors
T000277,trending gym gear essentials,TikTok,107583,Sports & Outdoors
T000278,sustainable desk setup hacks,TikTok,201036,Beauty
T000279,must-have kitchen hacks guide,YouTube,273007,Kitchen
T000280,minimalist streetwear guide,YouTube,152982,Sports & Outdoors
T000281,luxury gift ideas hacks,Instagram,139449,Home Decor
T000282,goth gaming setup essentials,YouTube,374483,Home Decor
T000283,trending streetwear tour,TikTok,317488,Fashion
T000284,budget gift ideas hacks,YouTube,109417,Kitchen
T000285,goth office essentials hacks,YouTube,497448,Beauty
T000286,goth travel hacks check,Instagram,256604,Sports & Outdoors
T000287,retro office essentials check,Instagram,203665,Electronics
T000288,trending gym gear finds,TikTok,495355,Electronics
T000289,smart camping gear finds,Instagram,265690,Beauty
T000290,Y2K gift ideas essentials,Instagram,402147,Kitchen
T000291,must-have room decor finds,Instagram,74354,Sports & Outdoors
T000292,aesthetic desk setup essentials,Pinterest,391867,Beauty
T000293,top rated gym gear finds,Instagram,111956,Beauty
T000294,luxury gaming setup essentials,YouTube,90345,Fashion
T000295,trending camping gear finds,Pinterest,195395,Fashion
T000296,viral gaming setup guide,Pinterest,45190,Electronics
T000297,viral tech gadgets hacks,TikTok,382154,Electronics
T000298,must-have office essentials finds,TikTok,18161,Home Decor
T000299,Y2K skincare routine essentials,Instagram,463165,Home Decor
T000300,viral gift ideas finds,YouTube,340408,Travel
T000301,luxury gaming setup review,Instagram,30242,Kitchen
T000302,luxury kitchen hacks guide,Instagram,167250,Fashion
T000303,retro skincare routine unboxing,Instagram,169165,Home Decor
T000304,top rated gaming setup tour,Instagram,410201,Beauty
T000305,Y2K tech gadgets finds,TikTok,428142,Home Decor
T000306,smart travel hacks hacks,Instagram,333068,Home Decor
T000307,minimalist office essentials review,Instagram,434932,Beauty
T000308,smart office essentials review,Instagram,236996,Fashion
T000309,minimalist skincare routine hacks,YouTube,331613,Electronics
T000310,sustainable skincare routine unboxing,TikTok,459649,Fashion
T000311,Y2K travel hacks finds,TikTok,274410,Electronics
T000312,cozy desk setup finds,TikTok,208654,Beauty
T000313,trending gift ideas essentials,Instagram,231281,Fashion
T000314,Y2K gym gear hacks,TikTok,349068,Electronics
T000315,aesthetic desk setup tour,Pinterest,406270,Sports & Outdoors
T000316,cozy camping gear essentials,Instagram,259849,Fashion
T000317,cozy desk setup review,YouTube,83691,Office Supplies
T000318,aesthetic kitchen hacks guide,Instagram,338823,Home Decor
T000319,trending kitchen hacks hacks,Instagram,33364,Electronics
T000320,retro room decor guide,YouTube,225425,Sports & Outdoors
T000321,budget office essentials hacks,TikTok,398713,Electronics
T000322,minimalist gift ideas unboxing,TikTok,255771,Travel
T000323,aesthetic streetwear finds,Instagram,291944,Fashion
T000324,goth kitchen hacks check,TikTok,398398,Sports & Outdoors
T000325,cozy gym gear essentials,YouTube,287571,Home Decor
T000326,top rated office essentials hacks,YouTube,478644,Sports & Outdoors
T000327,retro travel hacks review,TikTok,362347,Electronics
T000328,luxury office essentials guide,Pinterest,431309,Sports & Outdoors
T000329,trending gift ideas guide,TikTok,497584,Electronics
T000330,cozy travel hacks hacks,YouTube,492492,Beauty
T000331,trending tech gadgets hacks,Instagram,208533,Electronics
T000332,viral skincare routine guide,Instagram,498822,Travel
T000333,goth camping gear tour,YouTube,370729,Home Decor
T000334,aesthetic gaming setup tour,TikTok,51511,Travel
T000335,budget kitchen hacks guide,TikTok,267600,Travel
T000336,aesthetic streetwear check,Instagram,216293,Electronics
T000337,top rated room decor guide,TikTok,164220,Kitchen
T000338,luxury room decor finds,Instagram,211807,Travel
T000339,viral desk setup finds,Instagram,424060,Fashion
T000340,aesthetic camping gear finds,Instagram,315049,Fashion
T000341,aesthetic tech gadgets tour,Pinterest,187879,Office Supplies
T000342,sustainable tech gadgets hacks,Instagram,278811,Home Decor
T000343,luxury tech gadgets check,Instagram,378123,Home Decor
T000344,retro travel hacks finds,TikTok,299822,Beauty
T000345,cozy tech gadgets essentials,TikTok,379254,Fashion
T000346,Y2K gaming setup check,TikTok,225356,Fashion
T000347,retro gym gear essentials,TikTok,199984,Sports & Outdoors
T000348,aesthetic skincare routine unboxing,Instagram,190951,Kitchen
T000349,smart camping gear finds,TikTok,449896,Office Supplies
T000350,viral room decor unboxing,Instagram,424951,Kitchen
T000351,aesthetic gym gear tour,Instagram,376766,Kitchen
T000352,retro office essentials unboxing,Pinterest,240319,Kitchen
T000353,cozy kitchen hacks tour,TikTok,158677,Fashion
T000354,must-have gaming setup guide,YouTube,8895,Travel
T000355,cozy desk setup essentials,Instagram,73585,Fashion
T000356,retro gaming setup review,TikTok,401422,Sports & Outdoors
T000357,luxury gift ideas tour,TikTok,167383,Beauty
T000358,trending gift ideas review,Instagram,324594,Home Decor
T000359,goth streetwear review,YouTube,154629,Beauty
T000360,viral gym gear check,Instagram,484495,Home Decor
T000361,aesthetic gym gear tour,TikTok,271240,Travel
T000362,luxury camping gear essentials,TikTok,467822,Home Decor
T000363,cozy skincare routine hacks,YouTube,118125,Sports & Outdoors
T000364,goth gaming setup guide,Instagram,340434,Travel
T000365,cozy room decor hacks,Instagram,171363,Home Decor
T000366,retro streetwear unboxing,YouTube,390809,Electronics
T000367,aesthetic kitchen hacks tour,Instagram,221595,Travel
T000368,Y2K room decor check,TikTok,242351,Electronics
T000369,viral streetwear finds,Instagram,108983,Electronics
T000370,cozy tech gadgets tour,YouTube,339864,Electronics
T000371,minimalist skincare routine essentials,YouTube,114531,Sports & Outdoors
T000372,trending desk setup review,YouTube,331772,Sports & Outdoors
T000373,smart gym gear essentials,TikTok,327979,Electronics
T000374,luxury room decor essentials,Instagram,18262,Fashion
T000375,goth kitchen hacks review,Instagram,288066,Home Decor
T000376,must-have camping gear hacks,TikTok,201994,Office Supplies
T000377,must-have skincare routine guide,Instagram,363107,Office Supplies
T000378,smart office essentials finds,Instagram,217463,Travel
T000379,must-have gym gear essentials,Instagram,297478,Beauty
T000380,trending skincare routine unboxing,Instagram,456738,Electronics
T000381,cozy tech gadgets check,TikTok,283341,Travel
T000382,top rated gym gear guide,Instagram,416249,Electronics
T000383,Y2K desk setup check,Pinterest,228620,Fashion
T000384,top rated gaming setup hacks,Instagram,450144,Travel
T000385,aesthetic camping gear check,Instagram,381041,Travel
T000386,sustainable office essentials tour,Instagram,423704,Office Supplies
T000387,minimalist streetwear guide,TikTok,408830,Office Supplies
T000388,retro tech gadgets check,Instagram,334330,Sports & Outdoors
T000389,budget office essentials finds,Instagram,424280,Travel
T000390,viral kitchen hacks check,Instagram,159198,Fashion
T000391,viral gym gear guide,TikTok,69393,Electronics
T000392,must-have gift ideas hacks,Instagram,490350,Fashion
T000393,budget streetwear unboxing,TikTok,478917,Office Supplies
T000394,sustainable gift ideas unboxing,Pinterest,60301,Travel
T000395,smart gym gear finds,Instagram,379152,Home Decor
T000396,goth travel hacks finds,Instagram,55973,Office Supplies
T000397,must-have travel hacks check,TikTok,241426,Beauty
T000398,must-have office essentials essentials,Instagram,316755,Fashion
T000399,top rated gift ideas guide,Instagram,363705,Electronics
T000400,Y2K skincare routine guide,TikTok,278957,Home Decor
T000401,must-have travel hacks finds,TikTok,171443,Home Decor
T000402,luxury kitchen hacks unboxing,Instagram,9970,Travel
T000403,luxury gift ideas finds,YouTube,126871,Fashion
T000404,must-have room decor finds,TikTok,69225,Kitchen
T000405,goth room decor tour,Pinterest,496707,Travel
T000406,luxury travel hacks finds,TikTok,374718,Electronics
T000407,trending travel hacks finds,TikTok,401204,Beauty
T000408,trending skincare routine finds,YouTube,204627,Travel
T000409,sustainable streetwear check,TikTok,111035,Fashion
T000410,cozy room decor guide,YouTube,399359,Sports & Outdoors
T000411,viral gaming setup finds,TikTok,451124,Kitchen
T000412,goth tech gadgets unboxing,TikTok,32642,Office Supplies
T000413,Y2K travel hacks hacks,YouTube,471158,Home Decor
T000414,smart streetwear essentials,Instagram,412860,Sports & Outdoors
T000415,aesthetic gym gear guide,TikTok,498766,Travel
T000416,minimalist skincare routine review,Instagram,364009,Home Decor
T000417,goth skincare routine hacks,TikTok,434289,Fashion
T000418,top rated desk setup essentials,Pinterest,417465,Home Decor
T000419,goth gift ideas essentials,TikTok,52890,Electronics
T000420,trending skincare routine check,TikTok,426444,Office Supplies
T000421,Y2K gaming setup finds,TikTok,371551,Sports & Outdoors
T000422,budget room decor check,TikTok,186071,Office Supplies
T000423,sustainable streetwear finds,TikTok,383280,Fashion
T000424,cozy kitchen hacks finds,Instagram,497203,Electronics
T000425,trending camping gear unboxing,TikTok,298975,Electronics
T000426,viral kitchen hacks unboxing,TikTok,45988,Electronics
T000427,cozy skincare routine essentials,TikTok,93945,Home Decor
T000428,top rated travel hacks tour,TikTok,3164,Electronics
T000429,smart tech gadgets hacks,Instagram,157012,Electronics
T000430,goth skincare routine review,TikTok,1706,Home Decor
T000431,goth gift ideas check,Instagram,163067,Travel
T000432,aesthetic streetwear review,TikTok,160010,Fashion
T000433,cozy gift ideas tour,Instagram,443461,Home Decor
T000434,budget skincare routine review,TikTok,405290,Fashion
T000435,must-have gym gear check,TikTok,187638,Travel
T000436,aesthetic gym gear finds,TikTok,272505,Fashion
T000437,Y2K skincare routine check,Instagram,271818,Electronics
T000438,Y2K office essentials guide,YouTube,336163,Beauty
T000439,cozy office essentials check,TikTok,26609,Sports & Outdoors
T000440,budget gym gear essentials,TikTok,214034,Kitchen
T000441,cozy skincare routine essentials,Instagram,331343,Beauty
T000442,smart camping gear finds,TikTok,358191,Electronics
T000443,minimalist skincare routine finds,TikTok,170769,Fashion
T000444,smart gift ideas unboxing,Instagram,297820,Home Decor
T000445,goth desk setup essentials,Pinterest,227075,Electronics
T000446,budget desk setup unboxing,YouTube,313888,Travel
T000447,sustainable gym gear check,TikTok,451784,Fashion
T000448,top rated streetwear review,Instagram,259256,Home Decor
T000449,budget skincare routine unboxing,YouTube,361588,Office Supplies
T000450,smart tech gadgets check,Instagram,305614,Electronics
T000451,viral skincare routine review,Instagram,16378,Fashion
T000452,budget gym gear hacks,TikTok,263509,Beauty
T000453,sustainable streetwear tour,Instagram,139278,Beauty
T000454,smart gaming setup hacks,TikTok,218524,Kitchen
T000455,viral room decor tour,TikTok,303960,Travel
T000456,top rated kitchen hacks guide,TikTok,395318,Office Supplies
T000457,goth travel hacks review,Instagram,334754,Office Supplies
T000458,smart gaming setup essentials,TikTok,50418,Sports & Outdoors
T000459,aesthetic travel hacks essentials,Instagram,145480,Electronics
T000460,must-have desk setup essentials,TikTok,353655,Fashion
T000461,viral tech gadgets hacks,YouTube,272232,Fashion
T000462,viral desk setup tour,TikTok,275837,Beauty
T000463,cozy gym gear review,TikTok,417976,Home Decor
T000464,aesthetic office essentials check,Instagram,189601,Home Decor
T000465,sustainable streetwear tour,Instagram,190103,Home Decor
T000466,luxury gaming setup finds,Instagram,314141,Home Decor
T000467,top rated travel hacks guide,TikTok,150138,Fashion
T000468,minimalist travel hacks guide,Instagram,29790,Beauty
T000469,trending camping gear hacks,TikTok,332071,Office Supplies
T000470,minimalist desk setup finds,Instagram,34345,Kitchen
T000471,top rated camping gear hacks,YouTube,179686,Home Decor
T000472,luxury office essentials check,TikTok,327671,Home Decor
T000473,viral camping gear finds,TikTok,268174,Sports & Outdoors
T000474,smart gift ideas guide,YouTube,45436,Electronics
T000475,retro gaming setup guide,YouTube,277268,Sports & Outdoors
T000476,trending gaming setup review,YouTube,417448,Fashion
T000477,smart gift ideas unboxing,TikTok,228350,Travel
T000478,sustainable skincare routine check,TikTok,48997,Electronics
T000479,budget desk setup unboxing,TikTok,150417,Electronics
T000480,aesthetic desk setup check,TikTok,53694,Home Decor
T000481,Y2K gift ideas essentials,TikTok,436283,Electronics
T000482,top rated streetwear finds,Instagram,386803,Fashion
T000483,Y2K tech gadgets tour,YouTube,412688,Sports & Outdoors
T000484,smart skincare routine check,Pinterest,309854,Home Decor
