product_id,product_title,product_description,category,price_inr,description_length,clean_description,combined_text,top_trend_1,top_trend_2,top_trend_3,similarity_score_1,similarity_score_2,similarity_score_3,optimized_product_title
P000039,Ergonomic Sneakers 2026 Edition,A must-have for enthusiasts. Built to last and withstand daily wear. Satisfaction guaranteed.,Electronics,57804.52,93,a musthave for enthusiasts built to last and withstand daily wear satisfaction guaranteed,ergonomic sneakers 2026 edition a musthave for enthusiasts built to last and withstand daily wear satisfaction guaranteed,retro streetwear essentials,retro streetwear essentials,retro streetwear essentials,0.5084732174873352,0.5084732174873352,0.5084732174873352,retro streetwear essentials Inspired Ergonomic Sneakers 2026 Edition
P000040,Modern Headphones Pro Max,Upgrade your lifestyle with this. Built to last and withstand daily wear. Perfect for gifting.,Home Decor,69684.31,94,upgrade your lifestyle with this built to last and withstand daily wear perfect for gifting,modern headphones pro max upgrade your lifestyle with this built to last and withstand daily wear perfect for gifting,No Strong Match,retro streetwear essentials,retro streetwear essentials,0.412290096282959,0.412290096282959,0.412290096282959,Modern Headphones Pro Max
P000041,Classic Blender Classic,A must-have for enthusiasts. Built to last and withstand daily wear. Satisfaction guaranteed.,Home Decor,79690.79,93,a musthave for enthusiasts built to last and withstand daily wear satisfaction guaranteed,classic blender classic a musthave for enthusiasts built to last and withstand daily wear satisfaction guaranteed,retro streetwear essentials,retro streetwear essentials,retro streetwear essentials,0.5267357230186462,0.5267357230186462,0.5267357230186462,retro streetwear essentials Inspired Classic Blender Classic
P000042,Durable Wallet with RGB,A must-have for enthusiasts. Highly rated by our community. Don't miss out on this deal.,Kitchen,50579.37,88,a musthave for enthusiasts highly rated by our community dont miss out on this deal,durable wallet with rgb a musthave for enthusiasts highly rated by our community dont miss out on this deal,No Strong Match,budget tech gadgets essentials,budget tech gadgets essentials,0.4510275423526764,0.4510275423526764,0.4510275423526764,Durable Wallet with RGB
P000043,Smart Wallet Set,Upgrade your lifestyle with this. Comes with an extended warranty. Order now while supplies last!,Fashion,44126.12,97,upgrade your lifestyle with this comes with an extended warranty order now while supplies last,smart wallet set upgrade your lifestyle with this comes with an extended warranty order now while supplies last,No Strong Match,luxury tech gadgets check,luxury tech gadgets check,0.36327362060546875,0.36327362060546875,0.36327362060546875,Smart Wallet Set
P000044,Compact Speaker Set,A must-have for enthusiasts. Highly rated by our community. Don't miss out on this deal.,Travel,2283.33,88,a musthave for enthusiasts highly rated by our community dont miss out on this deal,compact speaker set a musthave for enthusiasts highly rated by our community dont miss out on this deal,No Strong Match,budget tech gadgets essentials,budget tech gadgets essentials,0.36386626958847046,0.36386626958847046,0.36386626958847046,Compact Speaker Set
P000045,Modern Sneakers V2,Designed for everyday use. Highly rated by our community. Available in multiple colors.,Beauty,6753.71,87,designed for everyday use highly rated by our community available in multiple colors,modern sneakers v2 designed for everyday use highly rated by our community available in multiple colors,trending streetwear essentials,trending streetwear essentials,trending streetwear essentials,0.5390149354934692,0.5390149354934692,0.5390149354934692,trending streetwear essentials Inspired Modern Sneakers V2
P000046,Pro Backpack Classic,A must-have for enthusiasts. Highly rated by our community. Available in multiple colors.,Beauty,13655.99,89,a musthave for enthusiasts highly rated by our community available in multiple colors,pro backpack classic a musthave for enthusiasts highly rated by our community available in multiple colors,aesthetic camping gear essentials,aesthetic camping gear essentials,aesthetic camping gear essentials,0.5580741763114929,0.5580741763114929,0.5580741763114929,aesthetic camping gear essentials Inspired Pro Backpack Classic
P000047,Portable Sunglasses for Travel,A must-have for enthusiasts. Highly rated by our community. Available in multiple colors.,Travel,5328.6,89,a musthave for enthusiasts highly rated by our community available in multiple colors,portable sunglasses for travel a musthave for enthusiasts highly rated by our community available in multiple colors,No Strong Match,sustainable streetwear tour,sustainable streetwear tour,0.44635772705078125,0.44635772705078125,0.44635772705078125,Portable Sunglasses for Travel
P000048,Wireless Sunglasses Modern,The perfect addition to your collection. Features state-of-the-art materials. Perfect for gifting.,Kitchen,33767.72,98,the perfect addition to your collection features stateoftheart materials perfect for gifting,wireless sunglasses modern the perfect addition to your collection features stateoftheart materials perfect for gifting,No Strong Match,cozy tech gadgets essentials,cozy tech gadgets essentials,0.499664843082428,0.499664843082428,0.499664843082428,Wireless Sunglasses Modern
P000049,Luxury Jacket Kit,The perfect addition to your collection. Features state-of-the-art materials. Order now while supplies last!,Office Supplies,28510.5,108,the perfect addition to your collection features stateoftheart materials order now while supplies last,luxury jacket kit the perfect addition to your collection features stateoftheart materials order now while supplies last,luxury tech gadgets essentials,luxury tech gadgets essentials,luxury tech gadgets essentials,0.5538116693496704,0.5538116693496704,0.5538116693496704,luxury tech gadgets essentials Inspired Luxury Jacket Kit
P000050,Portable Wallet Classic,A must-have for enthusiasts. Comes with an extended warranty. Don't miss out on this deal.,Office Supplies,53200.51,90,a musthave for enthusiasts comes with an extended warranty dont miss out on this deal,portable wallet classic a musthave for enthusiasts comes with an extended warranty dont miss out on this deal,No Strong Match,luxury tech gadgets essentials,luxury tech gadgets essentials,0.3997516632080078,0.3997516632080078,0.3997516632080078,Portable Wallet Classic
P000051,Pro Lamp V2,A must-have for enthusiasts. Lightweight and easy to carry. Order now while supplies last!,Kitchen,44844.9,90,a musthave for enthusiasts lightweight and easy to carry order now while supplies last,pro lamp v2 a musthave for enthusiasts lightweight and easy to carry order now while supplies last,No Strong Match,budget camping gear essentials,budget camping gear essentials,0.39121752977371216,0.3912174701690674,0.3912174701690674,Pro Lamp V2
P000052,Pro Speaker Kit,Upgrade your lifestyle with this. Comes with an extended warranty. Don't miss out on this deal.,Office Supplies,49800.0,95,upgrade your lifestyle with this comes with an extended warranty dont miss out on this deal,pro speaker kit upgrade your lifestyle with this comes with an extended warranty dont miss out on this deal,No Strong Match,budget tech gadgets tour,budget tech gadgets tour,0.2918955981731415,0.2918955981731415,0.2918955981731415,Pro Speaker Kit
P000053,Wireless Camera with RGB,A must-have for enthusiasts. Lightweight and easy to carry. Don't miss out on this deal.,Home Decor,39611.75,88,a musthave for enthusiasts lightweight and easy to carry dont miss out on this deal,wireless camera with rgb a musthave for enthusiasts lightweight and easy to carry dont miss out on this deal,No Strong Match,budget tech gadgets essentials,budget tech gadgets essentials,0.44568878412246704,0.44568878412246704,0.44568878412246704,Wireless Camera with RGB
P000054,Minimalist Headphones for Travel,The perfect addition to your collection. Comes with an extended warranty. Perfect for gifting.,Beauty,23650.85,94,the perfect addition to your collection comes with an extended warranty perfect for gifting,minimalist headphones for travel the perfect addition to your collection comes with an extended warranty perfect for gifting,No Strong Match,budget travel hacks essentials,budget travel hacks essentials,0.409419983625412,0.409419983625412,0.409419983625412,Minimalist Headphones for Travel
P000055,Premium Headphones Classic,Upgrade your lifestyle with this. Comes with an extended warranty. Available in multiple colors.,Kitchen,79123.07,96,upgrade your lifestyle with this comes with an extended warranty available in multiple colors,premium headphones classic upgrade your lifestyle with this comes with an extended warranty available in multiple colors,No Strong Match,retro streetwear essentials,retro streetwear essentials,0.3452994227409363,0.3452994227409363,0.3452994227409363,Premium Headphones Classic
P000056,Ergonomic Jacket 2026 Edition,The perfect addition to your collection. Built to last and withstand daily wear. Order now while supplies last!,Beauty,7929.82,111,the perfect addition to your collection built to last and withstand daily wear order now while supplies last,ergonomic jacket 2026 edition the perfect addition to your collection built to last and withstand daily wear order now while supplies last,cozy gym gear essentials,cozy gym gear essentials,cozy gym gear essentials,0.523887038230896,0.523887038230896,0.523887038230896,cozy gym gear essentials Inspired Ergonomic Jacket 2026 Edition
P000057,Premium Wallet Edition,The perfect addition to your collection. Features state-of-the-art materials. Available in multiple colors.,Travel,77977.67,107,the perfect addition to your collection features stateoftheart materials available in multiple colors,premium wallet edition the perfect addition to your collection features stateoftheart materials available in multiple colors,No Strong Match,aesthetic office essentials finds,aesthetic office essentials finds,0.40451088547706604,0.40451088547706604,0.40451088547706604,Premium Wallet Edition
P000058,Durable Sunglasses Modern,The perfect addition to your collection. Built to last and withstand daily wear. Order now while supplies last!,Electronics,26403.96,111,the perfect addition to your collection built to last and withstand daily wear order now while supplies last,durable sunglasses modern the perfect addition to your collection built to last and withstand daily wear order now while supplies last,No Strong Match,trending streetwear essentials,trending streetwear essentials,0.4567248821258545,0.4567248821258545,0.4567248821258545,Durable Sunglasses Modern
P000059,Modern Watch Classic,A must-have for enthusiasts. Lightweight and easy to carry. Order now while supplies last!,Home Decor,42954.16,90,a musthave for enthusiasts lightweight and easy to carry order now while supplies last,modern watch classic a musthave for enthusiasts lightweight and easy to carry order now while supplies last,retro camping gear essentials,retro camping gear essentials,retro camping gear essentials,0.5177584290504456,0.5177584290504456,0.5177584290504456,retro camping gear essentials Inspired Modern Watch Classic
P000060,Luxury Water Bottle Pro Max,Upgrade your lifestyle with this. Features state-of-the-art materials. Available in multiple colors.,Sports & Outdoors,9772.42,100,upgrade your lifestyle with this features stateoftheart materials available in multiple colors,luxury water bottle pro max upgrade your lifestyle with this features stateoftheart materials available in multiple colors,No Strong Match,luxury tech gadgets guide,luxury tech gadgets guide,0.44699084758758545,0.44699084758758545,0.44699084758758545,Luxury Water Bottle Pro Max
P000061,Heavy-Duty Blender Classic,A must-have for enthusiasts. Lightweight and easy to carry. Perfect for gifting.,Home Decor,6657.43,80,a musthave for enthusiasts lightweight and easy to carry perfect for gifting,heavyduty blender classic a musthave for enthusiasts lightweight and easy to carry perfect for gifting,No Strong Match,budget gym gear essentials,budget gym gear essentials,0.47364532947540283,0.4736452102661133,0.4736452102661133,Heavy-Duty Blender Classic
P000062,Sleek Speaker Bundle,The perfect addition to your collection. Highly rated by our community. Perfect for gifting.,Kitchen,36124.92,92,the perfect addition to your collection highly rated by our community perfect for gifting,sleek speaker bundle the perfect addition to your collection highly rated by our community perfect for gifting,No Strong Match,top rated gift ideas guide,top rated gift ideas guide,0.4687820076942444,0.4687820076942444,0.4687820076942444,Sleek Speaker Bundle
P000063,Minimalist Headphones Kit,Upgrade your lifestyle with this. Features state-of-the-art materials. Perfect for gifting.,Sports & Outdoors,61774.41,91,upgrade your lifestyle with this features stateoftheart materials perfect for gifting,minimalist headphones kit upgrade your lifestyle with this features stateoftheart materials perfect for gifting,No Strong Match,budget tech gadgets essentials,budget tech gadgets essentials,0.45812880992889404,0.45812880992889404,0.45812880992889404,Minimalist Headphones Kit
P000064,Pro Wallet Bundle,Experience premium quality with our top-rated product. Highly rated by our community. Satisfaction guaranteed.,Electronics,22962.78,110,experience premium quality with our toprated product highly rated by our community satisfaction guaranteed,pro wallet bundle experience premium quality with our toprated product highly rated by our community satisfaction guaranteed,No Strong Match,smart streetwear review,smart streetwear review,0.4644010663032532,0.4644010663032532,0.4644010663032532,Pro Wallet Bundle
P000065,Minimalist Chair for Travel,The perfect addition to your collection. Highly rated by our community. Order now while supplies last!,Kitchen,47036.93,102,the perfect addition to your collection highly rated by our community order now while supplies last,minimalist chair for travel the perfect addition to your collection highly rated by our community order now while supplies last,minimalist gift ideas tour,minimalist gift ideas tour,minimalist gift ideas tour,0.567784309387207,0.567784309387207,0.567784309387207,minimalist gift ideas tour Inspired Minimalist Chair for Travel
P000066,Eco-friendly Camera for Travel,Upgrade your lifestyle with this. Features state-of-the-art materials. Satisfaction guaranteed.,Fashion,23725.55,95,upgrade your lifestyle with this features stateoftheart materials satisfaction guaranteed,ecofriendly camera for travel upgrade your lifestyle with this features stateoftheart materials satisfaction guaranteed,No Strong Match,sustainable tech gadgets tour,sustainable tech gadgets tour,0.45880138874053955,0.45880138874053955,0.45880138874053955,Eco-friendly Camera for Travel
P000067,Eco-friendly Lamp for Travel,The perfect addition to your collection. Comes with an extended warranty. Order now while supplies last!,Beauty,32761.76,104,the perfect addition to your collection comes with an extended warranty order now while supplies last,ecofriendly lamp for travel the perfect addition to your collection comes with an extended warranty order now while supplies last,No Strong Match,budget travel hacks finds,budget travel hacks finds,0.3778534531593323,0.3778534531593323,0.3778534531593323,Eco-friendly Lamp for Travel
